Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2018,441,Motor vehicle and parts dealers,"99,956","99,731","99,933","99,981","100,810","100,387","100,979","100,182","99,508","100,165","101,270","102,370",,
2018,"4411,4412",Automobile and other motor vehicle dealers,"92,182","91,907","92,132","92,165","92,877","92,464","92,972","92,251","91,469","92,159","93,313","94,450",,
2018,4413,"Automotive parts, acc., and tire stores","7,774","7,824","7,801","7,816","7,933","7,923","8,007","7,931","8,039","8,006","7,957","7,920",,
2018,"442,443","Furniture, home furn, electronics, and appliance stores","17,689","17,802","17,739","17,910","17,829","17,907","17,875","17,781","17,613","17,720","17,668","17,727",,
2018,442,Furniture and home furnishings stores,"9,835","9,855","9,865","9,999","9,907","9,939","9,999","9,869","9,857","9,895","9,929","10,078",,
2018,443,Electronics and appliance stores,"7,854","7,947","7,874","7,911","7,922","7,968","7,876","7,912","7,756","7,825","7,739","7,649",,
2018,444,Building mat. and garden equip. and supplies dealers,"28,907","29,951","29,589","29,802","30,646","31,118","31,261","30,904","31,099","31,610","30,937","30,912",,
2018,4441,Building mat. and supplies dealers,"25,467","26,296","25,958","26,372","27,028","27,445","27,536","26,992","27,104","27,415","26,954","26,989",,
2018,445,Food and beverage stores,"61,793","62,049","62,231","62,353","62,434","62,202","62,597","62,430","62,777","63,119","63,210","63,264",,
2018,4451,Grocery stores,"55,338","55,558","55,721","55,862","55,893","55,700","56,057","55,934","56,179","56,463","56,557","56,632",,
2018,4453,"Beer, wine and liquor stores","4,513","4,514","4,546","4,552","4,592","4,563","4,596","4,556","4,626","4,660","4,676","4,683",,
2018,446,Health and personal care stores,"27,674","27,544","27,711","28,006","28,416","28,151","28,348","28,562","28,344","28,537","29,076","27,778",,
2018,44611,Pharmacies and drug stores,"23,060","22,804","22,943","23,141","23,478","23,168","23,438","23,681","23,485","23,630","24,013","23,034",,
2018,447,Gasoline stations,"42,820","43,188","42,865","42,946","43,787","43,465","43,729","44,366","43,825","45,511","43,224","40,696",,
2018,448,Clothing and clothing access. stores,"21,811","22,362","21,663","22,070","22,779","22,206","22,562","22,106","21,963","22,426","22,492","22,169",,
2018,4481,Clothing stores,"15,949","16,383","15,815","16,025","16,699","16,148","16,396","16,217","16,152","16,370","16,432","16,190",,
2018,44811,Men's clothing stores,756,772,767,797,781,782,769,773,769,769,781,758,,
2018,44812,Women's clothing stores,"3,218","3,286","3,175","3,305","3,455","3,315","3,305","3,351","3,348","3,435","3,505","3,231",,
2018,4482,Shoe stores,"3,001","3,069","2,933","3,090","3,137","3,098","3,247","3,012","3,064","3,191","3,204","3,165",,
2018,44831,Jewelry stores,"2,640","2,690","2,696","2,737","2,735","2,753","2,719","2,683","2,557","2,677","2,660","2,617",,
2018,451,"Sporting goods, hobby, musical instrument, and book stores","6,788","7,106","7,162","7,063","7,052","6,836","6,554","6,491","6,401","6,392","6,488","6,342",,
2018,452,General merchandise stores,"58,455","58,745","58,076","58,026","59,500","58,555","58,922","59,001","58,933","59,325","59,995","59,549",,
2018,4521,Department stores,"12,105","12,111","11,444","12,198","12,326","11,806","11,866","11,762","11,638","11,712","11,832","11,457",,
2018,4529,Other general merchandise stores,"46,350","46,634","46,632","45,828","47,174","46,749","47,056","47,239","47,295","47,613","48,163","48,092",,
2018,45291,Warehouse clubs and superstores,"39,915","40,186","40,259","39,475","40,684","40,337","40,581","40,689","40,669","40,953","41,229","41,336",,
2018,45299,All other gen. merchandise stores,"6,435","6,448","6,373","6,353","6,490","6,412","6,475","6,550","6,626","6,660","6,934","6,756",,
2018,453,Miscellaneous stores retailers,"10,903","10,824","10,646","10,718","10,838","10,786","10,421","10,601","10,631","10,862","10,847","10,687",,
2018,454,Nonstore retailers,"54,249","54,452","55,276","55,957","55,690","55,917","56,863","57,015","57,615","57,893","60,277","53,791",,
2018,4541,Electronic shopping and mail order houses,"46,275","47,043","47,778","48,019","48,011","48,497","49,269","49,488","50,103","50,179","52,485","46,077",,
2018,45431,Fuel dealers,"3,580","2,770","2,775","3,196","2,960","2,913","3,050","3,028","3,013","3,154","3,023","2,881",,
2018,722,Food services and drinking places,"59,402","59,668","60,232","59,471","60,804","61,459","62,330","62,637","61,286","61,778","61,589","61,398",,
2017,441,Motor vehicle and parts dealers,"99,447","98,751","96,817","97,294","97,721","98,796","98,855","96,824","100,845","101,666","100,675","100,582",,
2017,"4411,4412",Automobile and other motor vehicle dealers,"91,682","91,073","89,052","89,472","89,954","91,084","91,049","89,120","92,963","93,918","92,781","92,463",,
2017,4413,"Automotive parts, acc., and tire stores","7,765","7,678","7,765","7,822","7,767","7,712","7,806","7,704","7,882","7,748","7,894","8,119",,
2017,"442,443","Furniture, home furn, electronics, and appliance stores","17,201","17,111","17,389","17,225","17,233","17,240","17,103","17,175","17,194","17,522","17,769","17,869",,
2017,442,Furniture and home furnishings stores,"9,493","9,490","9,569","9,399","9,485","9,573","9,522","9,591","9,542","9,810","9,929","10,063",,
2017,443,Electronics and appliance stores,"7,708","7,621","7,820","7,826","7,748","7,667","7,581","7,584","7,652","7,712","7,840","7,806",,
2017,444,Building mat. and garden equip. and supplies dealers,"28,433","28,862","28,685","29,038","28,746","28,785","28,932","28,927","29,938","29,556","29,984","30,077",,
2017,4441,Building mat. and supplies dealers,"25,153","25,324","25,057","25,247","25,005","25,115","25,136","25,214","26,309","26,026","26,338","26,361",,
2017,445,Food and beverage stores,"59,571","59,914","60,341","60,481","60,619","60,369","60,397","60,708","61,324","61,606","61,678","62,304",,
2017,4451,Grocery stores,"53,315","53,686","54,116","54,199","54,316","54,097","54,139","54,376","55,013","55,202","55,241","55,886",,
2017,4453,"Beer, wine and liquor stores","4,329","4,302","4,314","4,372","4,378","4,373","4,371","4,403","4,410","4,489","4,483","4,458",,
2017,446,Health and personal care stores,"26,150","26,426","26,560","26,749","26,782","27,008","27,047","27,339","27,402","27,578","27,748","27,633",,
2017,44611,Pharmacies and drug stores,"21,659","21,939","22,070","22,239","22,319","22,598","22,419","22,641","22,810","22,946","22,968","22,916",,
2017,447,Gasoline stations,"39,958","40,203","39,907","39,786","38,137","37,502","37,447","38,625","40,778","40,774","41,817","42,651",,
2017,448,Clothing and clothing access. stores,"22,039","21,698","21,832","21,823","21,609","21,764","21,635","21,761","21,845","21,768","22,030","21,787",,
2017,4481,Clothing stores,"16,162","15,921","15,988","16,004","15,838","15,936","15,778","15,881","15,915","15,870","16,000","15,932",,
2017,44811,Men's clothing stores,802,786,831,772,798,798,775,763,777,749,741,744,,
2017,44812,Women's clothing stores,"3,329","3,296","3,247","3,338","3,235","3,321","3,308","3,247","3,226","3,246","3,254","3,250",,
2017,4482,Shoe stores,"3,097","3,023","3,083","3,079","2,990","3,023","2,971","3,045","3,033","2,969","3,016","3,022",,
2017,44831,Jewelry stores,"2,562","2,518","2,528","2,507","2,523","2,557","2,622","2,577","2,642","2,671","2,741","2,593",,
2017,451,"Sporting goods, hobby, musical instrument, and book stores","7,191","7,067","6,982","7,053","6,959","6,969","6,847","6,919","6,984","7,013","7,125","7,081",,
2017,452,General merchandise stores,"57,617","57,060","57,349","57,487","56,501","57,650","57,362","57,558","58,179","57,936","58,296","58,686",,
2017,4521,Department stores,"12,605","12,419","12,419","12,398","12,274","12,283","12,119","12,068","12,127","11,977","12,059","11,905",,
2017,4529,Other general merchandise stores,"45,012","44,641","44,930","45,089","44,227","45,367","45,243","45,490","46,052","45,959","46,237","46,781",,
2017,45291,Warehouse clubs and superstores,"38,850","38,530","38,725","38,819","38,124","39,128","38,928","39,221","39,700","39,682","39,904","40,365",,
2017,45299,All other gen. merchandise stores,"6,162","6,111","6,205","6,270","6,103","6,239","6,315","6,269","6,352","6,277","6,333","6,416",,
2017,453,Miscellaneous stores retailers,"10,126","10,286","10,201","10,258","10,051","10,039","10,261","10,209","10,339","10,348","10,593","10,706",,
2017,454,Nonstore retailers,"48,016","48,174","48,773","49,347","49,744","50,171","50,487","50,843","51,370","50,958","53,216","54,161",,
2017,4541,Electronic shopping and mail order houses,"41,326","41,516","42,024","42,678","42,868","43,337","43,716","43,824","44,238","43,964","45,829","46,443",,
2017,45431,Fuel dealers,"2,424","2,419","2,526","2,515","2,601","2,540","2,470","2,577","2,643","2,556","2,854","3,172",,
2017,722,Food services and drinking places,"57,352","57,375","57,334","57,375","57,384","57,245","57,210","57,533","57,909","58,291","58,986","59,322",,
2016,441,Motor vehicle and parts dealers,"93,218","95,322","93,507","93,861","94,152","94,712","96,068","96,390","97,305","96,991","96,668","99,481",,
2016,"4411,4412",Automobile and other motor vehicle dealers,"85,447","87,574","85,846","86,300","86,534","86,980","88,469","88,694","89,679","89,280","89,058","91,307",,
2016,4413,"Automotive parts, acc., and tire stores","7,771","7,748","7,661","7,561","7,618","7,732","7,599","7,696","7,626","7,711","7,610","8,174",,
2016,"442,443","Furniture, home furn, electronics, and appliance stores","17,205","17,342","17,130","17,080","17,182","17,299","17,277","17,348","17,275","17,000","16,810","16,966",,
2016,442,Furniture and home furnishings stores,"9,241","9,277","9,228","9,203","9,260","9,415","9,340","9,317","9,542","9,380","9,350","9,346",,
2016,443,Electronics and appliance stores,"7,964","8,065","7,902","7,877","7,922","7,884","7,937","8,031","7,733","7,620","7,460","7,620",,
2016,444,Building mat. and garden equip. and supplies dealers,"28,160","28,207","28,910","27,966","27,553","28,324","28,027","27,850","28,021","28,052","28,222","28,143",,
2016,4441,Building mat. and supplies dealers,"24,509","24,624","24,961","24,329","24,013","24,627","24,526","24,372","24,484","24,681","24,926","24,814",,
2016,445,Food and beverage stores,"57,551","57,714","57,229","57,903","58,104","58,455","58,164","58,388","58,772","59,053","59,103","59,393",,
2016,4451,Grocery stores,"51,599","51,578","51,173","51,832","51,957","52,275","51,978","52,212","52,509","52,817","52,833","53,210",,
2016,4453,"Beer, wine and liquor stores","4,088","4,201","4,159","4,193","4,230","4,272","4,281","4,290","4,369","4,340","4,378","4,241",,
2016,446,Health and personal care stores,"26,139","26,686","26,501","26,740","26,660","26,837","26,807","26,682","26,676","25,860","26,089","26,147",,
2016,44611,Pharmacies and drug stores,"21,823","22,297","22,201","22,409","22,317","22,350","22,400","22,173","22,205","21,398","21,539","21,585",,
2016,447,Gasoline stations,"34,555","32,919","34,179","35,221","36,008","37,138","36,854","35,931","36,909","37,827","37,489","39,353",,
2016,448,Clothing and clothing access. stores,"21,272","21,916","21,419","21,376","21,483","21,636","21,407","21,751","21,886","21,696","21,500","21,944",,
2016,4481,Clothing stores,"15,546","15,903","15,632","15,612","15,631","15,843","15,671","15,959","16,077","15,901","15,608","15,993",,
2016,44811,Men's clothing stores,776,794,783,766,784,797,773,786,776,765,773,779,,
2016,44812,Women's clothing stores,"3,380","3,452","3,395","3,365","3,333","3,356","3,305","3,434","3,338","3,267","3,285","3,255",,
2016,4482,Shoe stores,"3,007","3,195","3,003","2,987","3,041","3,062","3,048","3,086","3,088","3,049","3,066","3,109",,
2016,44831,Jewelry stores,"2,539","2,602","2,567","2,559","2,608","2,533","2,492","2,501","2,515","2,531","2,607","2,630",,
2016,451,"Sporting goods, hobby, musical instrument, and book stores","7,268","7,291","7,273","7,205","7,254","7,581","7,211","7,019","7,050","7,099","6,959","7,078",,
2016,452,General merchandise stores,"56,250","57,187","57,032","56,866","56,584","57,149","56,813","56,938","56,140","56,836","56,695","56,501",,
2016,4521,Department stores,"13,222","13,221","13,142","12,895","12,760","13,059","12,803","12,832","12,725","12,627","12,320","12,310",,
2016,4529,Other general merchandise stores,"43,028","43,966","43,890","43,971","43,824","44,090","44,010","44,106","43,415","44,209","44,375","44,191",,
2016,45291,Warehouse clubs and superstores,"37,253","38,052","38,019","38,088","37,977","38,127","38,053","38,138","37,473","38,194","38,382","38,186",,
2016,45299,All other gen. merchandise stores,"5,775","5,914","5,871","5,883","5,847","5,963","5,957","5,968","5,942","6,015","5,993","6,005",,
2016,453,Miscellaneous stores retailers,"9,797","9,773","10,064","10,136","9,997","10,056","10,012","9,936","10,198","10,358","9,978","10,173",,
2016,454,Nonstore retailers,"43,071","43,319","43,386","43,845","44,734","45,288","45,187","45,498","45,832","46,348","46,416","47,397",,
2016,4541,Electronic shopping and mail order houses,"36,727","37,062","37,412","37,453","38,146","38,675","38,717","39,124","39,407","39,809","40,126","40,712",,
2016,45431,Fuel dealers,"2,259","2,238","1,922","2,276","2,401","2,399","2,330","2,303","2,276","2,376","2,262","2,586",,
2016,722,Food services and drinking places,"53,075","54,145","53,931","54,244","54,292","54,282","54,365","54,774","55,390","55,335","56,359","55,403",,
2015,441,Motor vehicle and parts dealers,"88,511","87,193","91,134","91,689","92,385","92,311","92,571","93,209","93,609","92,900","94,038","93,492",,
2015,"4411,4412",Automobile and other motor vehicle dealers,"81,227","79,804","83,684","84,130","84,794","84,634","84,844","85,576","86,026","85,304","86,310","85,840",,
2015,4413,"Automotive parts, acc., and tire stores","7,284","7,389","7,450","7,559","7,591","7,677","7,727","7,633","7,583","7,596","7,728","7,652",,
2015,"442,443","Furniture, home furn, electronics, and appliance stores","17,343","16,999","17,060","17,270","17,504","17,436","17,438","17,438","17,437","17,450","17,291","17,508",,
2015,442,Furniture and home furnishings stores,"8,701","8,508","8,765","8,885","9,070","8,898","9,065","9,079","9,065","9,164","9,154","9,369",,
2015,443,Electronics and appliance stores,"8,642","8,491","8,295","8,385","8,434","8,538","8,373","8,359","8,372","8,286","8,137","8,139",,
2015,444,Building mat. and garden equip. and supplies dealers,"26,486","25,570","26,526","26,750","26,823","26,543","27,388","27,414","27,228","27,348","27,650","28,176",,
2015,4441,Building mat. and supplies dealers,"22,980","22,184","23,145","23,244","23,182","22,983","23,708","23,748","23,601","23,683","24,088","24,690",,
2015,445,Food and beverage stores,"57,108","57,183","57,168","57,083","57,099","57,344","57,564","57,528","57,386","57,183","57,522","57,400",,
2015,4451,Grocery stores,"51,234","51,321","51,273","51,137","51,191","51,403","51,573","51,526","51,419","51,280","51,595","51,378",,
2015,4453,"Beer, wine and liquor stores","4,020","4,029","4,090","4,057","4,075","4,081","4,121","4,129","4,093","4,087","4,110","4,181",,
2015,446,Health and personal care stores,"25,317","25,089","25,653","25,201","25,180","25,364","25,588","25,789","26,036","25,892","26,066","26,264",,
2015,44611,Pharmacies and drug stores,"21,044","20,869","21,533","21,064","21,069","21,173","21,316","21,487","22,082","21,645","21,799","22,013",,
2015,447,Gasoline stations,"36,615","37,844","38,367","37,822","39,295","39,836","40,352","39,177","36,904","36,547","36,078","35,921",,
2015,448,Clothing and clothing access. stores,"21,022","21,282","21,333","21,426","21,596","21,312","21,557","21,580","21,398","21,237","21,301","21,466",,
2015,4481,Clothing stores,"15,309","15,553","15,628","15,682","15,817","15,526","15,722","15,810","15,712","15,542","15,557","15,550",,
2015,44811,Men's clothing stores,775,804,778,779,781,776,785,814,782,778,780,803,,
2015,44812,Women's clothing stores,"3,419","3,370","3,370","3,318","3,419","3,368","3,391","3,447","3,342","3,388","3,347","3,438",,
2015,4482,Shoe stores,"2,872","2,901","2,902","2,875","2,953","2,907","2,963","2,936","2,983","2,986","2,966","3,031",,
2015,44831,Jewelry stores,"2,628","2,636","2,611","2,652","2,636","2,686","2,671","2,641","2,506","2,513","2,577","2,668",,
2015,451,"Sporting goods, hobby, musical instrument, and book stores","6,937","6,981","7,061","7,088","7,133","7,073","7,132","7,172","7,200","7,095","7,196","7,348",,
2015,452,General merchandise stores,"56,437","56,119","56,294","56,226","56,742","56,561","56,900","56,923","56,851","56,792","56,989","57,261",,
2015,4521,Department stores,"13,944","13,773","13,866","13,745","13,960","13,665","13,648","13,639","13,710","13,636","13,630","13,535",,
2015,4529,Other general merchandise stores,"42,493","42,346","42,428","42,481","42,782","42,896","43,252","43,284","43,141","43,156","43,359","43,726",,
2015,45291,Warehouse clubs and superstores,"36,965","36,822","36,808","36,930","37,142","37,261","37,592","37,557","37,423","37,412","37,596","37,906",,
2015,45299,All other gen. merchandise stores,"5,528","5,524","5,620","5,551","5,640","5,635","5,660","5,727","5,718","5,744","5,763","5,820",,
2015,453,Miscellaneous stores retailers,"9,843","9,757","9,732","9,783","9,991","10,038","10,044","10,149","9,706","9,718","9,846","9,765",,
2015,454,Nonstore retailers,"39,670","40,668","40,522","40,792","40,618","40,925","41,494","41,403","41,886","42,104","41,983","42,225",,
2015,4541,Electronic shopping and mail order houses,"32,991","33,413","33,554","34,040","34,178","34,308","34,871","35,007","35,428","35,655","35,884","36,201",,
2015,45431,Fuel dealers,"2,980","3,549","3,136","2,814","2,689","2,720","2,686","2,556","2,535","2,508","2,172","1,976",,
2015,722,Food services and drinking places,"50,853","50,713","51,151","51,768","51,939","51,906","52,234","52,488","52,450","52,817","52,932","53,785",,
2014,441,Motor vehicle and parts dealers,"79,118","81,490","84,434","85,815","85,914","86,221","86,523","87,445","86,430","86,841","87,823","87,390",,
2014,"4411,4412",Automobile and other motor vehicle dealers,"71,882","74,172","77,114","78,506","78,714","79,114","79,403","80,257","79,254","79,649","80,227","80,234",,
2014,4413,"Automotive parts, acc., and tire stores","7,236","7,318","7,320","7,309","7,200","7,107","7,120","7,188","7,176","7,192","7,596","7,156",,
2014,"442,443","Furniture, home furn, electronics, and appliance stores","16,324","16,634","16,811","16,900","16,765","16,692","16,797","17,000","17,126","17,110","17,386","17,498",,
2014,442,Furniture and home furnishings stores,"7,826","8,111","8,244","8,366","8,348","8,360","8,382","8,519","8,462","8,496","8,582","8,721",,
2014,443,Electronics and appliance stores,"8,498","8,523","8,567","8,534","8,417","8,332","8,415","8,481","8,664","8,614","8,804","8,777",,
2014,444,Building mat. and garden equip. and supplies dealers,"24,930","24,855","25,277","26,126","26,420","26,632","26,096","26,628","26,507","26,521","26,620","26,282",,
2014,4441,Building mat. and supplies dealers,"21,494","21,436","21,666","22,313","22,722","22,915","22,634","23,060","23,063","22,935","22,912","22,681",,
2014,445,Food and beverage stores,"54,789","54,805","54,878","55,269","55,450","55,901","56,135","56,293","56,461","56,768","56,754","57,054",,
2014,4451,Grocery stores,"49,127","49,211","49,245","49,591","49,769","50,097","50,367","50,505","50,728","50,941","50,965","51,142",,
2014,4453,"Beer, wine and liquor stores","3,900","3,856","3,869","3,911","3,902","3,998","3,967","3,975","3,954","4,011","3,951","4,030",,
2014,446,Health and personal care stores,"23,719","23,827","23,971","24,176","24,506","24,702","24,716","24,820","24,930","24,844","24,929","25,098",,
2014,44611,Pharmacies and drug stores,"19,905","20,022","20,143","20,304","20,488","20,704","20,719","20,784","20,878","20,680","20,800","21,024",,
2014,447,Gasoline stations,"47,128","47,514","46,860","47,080","46,822","45,731","45,805","45,905","45,431","44,502","43,584","40,447",,
2014,448,Clothing and clothing access. stores,"20,533","20,524","20,658","21,125","20,732","20,795","20,872","21,040","20,757","21,140","21,341","21,267",,
2014,4481,Clothing stores,"14,866","14,833","15,031","15,414","15,116","15,131","15,204","15,364","15,196","15,469","15,714","15,687",,
2014,44811,Men's clothing stores,764,804,785,779,766,754,763,770,762,774,797,777,,
2014,44812,Women's clothing stores,"3,382","3,413","3,415","3,418","3,421","3,376","3,415","3,478","3,427","3,444","3,488","3,539",,
2014,4482,Shoe stores,"2,789","2,842","2,807","2,878","2,808","2,848","2,843","2,825","2,794","2,842","2,867","2,832",,
2014,44831,Jewelry stores,"2,656","2,618","2,615","2,631","2,601","2,612","2,632","2,654","2,566","2,634","2,565","2,543",,
2014,451,"Sporting goods, hobby, musical instrument, and book stores","6,484","6,798","6,796","6,897","6,861","6,948","6,925","7,171","7,048","7,152","7,144","7,063",,
2014,452,General merchandise stores,"54,548","55,363","55,481","55,915","55,947","55,907","56,042","56,272","56,100","56,271","56,326","56,385",,
2014,4521,Department stores,"13,698","14,110","14,107","14,412","14,215","13,993","14,078","14,117","13,854","13,874","13,916","13,975",,
2014,4529,Other general merchandise stores,"40,850","41,253","41,374","41,503","41,732","41,914","41,964","42,155","42,246","42,397","42,410","42,410",,
2014,45291,Warehouse clubs and superstores,"35,570","35,903","36,064","36,124","36,317","36,466","36,504","36,666","36,773","36,897","36,927","36,865",,
2014,45299,All other gen. merchandise stores,"5,280","5,350","5,310","5,379","5,415","5,448","5,460","5,489","5,473","5,500","5,483","5,545",,
2014,453,Miscellaneous stores retailers,"9,234","9,385","9,456","9,377","9,536","9,576","9,615","9,740","9,728","9,885","9,825","9,804",,
2014,454,Nonstore retailers,"36,296","37,132","37,580","37,729","37,764","38,633","38,452","38,910","38,986","39,383","39,616","39,740",,
2014,4541,Electronic shopping and mail order houses,"28,657","29,433","30,133","30,488","30,603","31,624","31,367","31,704","31,909","32,412","32,467","33,009",,
2014,45431,Fuel dealers,"3,965","4,004","3,802","3,528","3,288","3,233","3,265","3,285","3,191","3,054","3,270","2,965",,
2014,722,Food services and drinking places,"45,948","46,457","47,049","47,172","47,575","47,749","48,124","48,419","49,031","49,711","49,791","50,576",,
